E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-20.29,0.00736669,4.85993e-6,-30.38,7,-6.8,-16.13,7.2,4,-12.469999999999999,0.05508077,0.09639398,0.6621605,0.7277184,0.16
-14.77,3.23155e-4,0.00348792,-22.83,9,-3.03,-11.93,3.33,4,-5.900000000000002,0.4749974,0.1265797,0.2853145,0.5093466,0.14
-18.98,4.27789e-5,2.36073e-7,-33.88,11,-4.9,-9.69,8.95,2,-11.09,0.1282927,0.1165903,0.05931239,0.298119,0.14
-20.93,2.4006e-5,4.94201e-4,-31.67,12,-4.59,-10.37,3.03,4,-8.780000000000001,0.1178844,0.0597691,0.3681446,0.1360796,0.09
-20.5,0.00966824,9.11336e-6,-30.06,11,-3.09,-14.41,1.01,4,-5.09,0.06360886,0.06461989,0.6390125,0.5005324,0.16
-22.42,0.00176758,0.013814,-28.67,12,-5.68,-15.95,2.49,4,-4.489999999999998,0.03806388,0.3929231,0.2336645,0.2431106,0.07
-7.89,3.07095e-4,4.9032e-9,-23.91,5,-3.04,-4.84,1.22,2,-8.329999999999998,0.8240002,0.009735789,0.05044012,0.1015389,0
-18.66,0.00632201,4.65952e-9,-32.93,8,-4.94,-5.06,0.8,2,-9.530000000000001,0.2991515,0.517098,0.1275363,0.7041024,0.16
-16.75,1.19606e-5,1.78332e-6,-31.21,8,-2.48,-13.37,7.79,6,-9.399999999999999,0.03997857,0.05114098,0.2245091,0.06443925,0.07
-15.51,0.013814,3.92944e-5,-24,10,-3.44,-10.71,2.02,4,-7.270000000000001,0.4468828,0.7037601,0.354287,0.2197139,0.05
-13.19,1.38174e-4,2.70448e-7,-27.32,6,-4.29,-5.59,5.32,2,-10.520000000000001,0.08192337,0.08983453,0.2348366,0.153602,0.01
-13.88,1.84497e-6,7.88674e-5,-27.21,7,-4.23,-6.07,5.1,2,-13.569999999999999,0.1145178,0.04625033,0.4905691,0.01109295,0.34
-8.13,2.04249e-4,8.51869e-10,-25.42,6,-3.91,0,999999,0,-8.47,0.4378804,0.1361884,0.1508041,0.2032938,0.04
-20.14,0.0133525,1.90874e-6,-30.43,9,-5.26,-10.89,7.75,4,-7.050000000000001,0.7364233,0.539801,0.3277875,0.340059,0.2
-19.02,0.00149136,0.173737,-23.88,12,-5.1,-14.75,0.84,4,-3.6999999999999993,0.1508138,0.07937423,0.03937962,0.1482194,0.38
-19.3,9.50767e-5,1.35913e-8,-35.41,9,-5.67,0,999999,0,-5.919999999999998,0.5220588,0.6376431,0.2145586,0.03777004,0.02
-15.9,1.94098e-4,1.08921e-4,-26.3,10,-5.48,-5.83,4.88,4,-8.089999999999998,0.5871645,0.5739411,0.03849452,0.1620423,0.02
-19.47,2.72656e-4,1.09891e-7,-33.73,11,-6.05,-6.18,0.2,2,-10.220000000000002,0.8043115,0.5260187,0.1059577,0.1933109,0.07
-14.24,0.0013018,0.0105256,-20.83,9,-2.27,-12.51,1.96,4,-7.65,0.5010028,0.4028135,0.4330229,0.03304177,0.04
-17.85,0.00688262,1.04429e-7,-30.24,10,-6.44,0,999999,0,-6.149999999999999,0.3733146,0.3543002,0.1394667,0.4980595,0
-15.39,0.00331457,1.29095e-4,-24.02,5,-3.73,-13.75,5.27,4,-4.620000000000001,0.2666553,0.05948048,0.4134345,0.2220664,0.07
-16.9,4.03039e-4,0.00918773,-24.26,5,-3.92,-14.47,0.98,4,-5.210000000000001,0.8342419,0.2855718,0.09532724,0.05139089,0.05
-17.79,9.67061e-5,3.60938e-5,-29.25,12,-2.42,-8.68,0.83,2,-10.34,0.333817,0.3222104,0.2798085,0.0275433,0
-18.06,0.00265761,0.0556486,-23.25,11,-3.83,-14.59,0.92,4,-6.920000000000002,0.2043652,0.08586056,0.1683346,0.139544,0.36
-11.39,2.75083e-7,0.00106167,-24.31,6,-2.44,-11.07,4.03,4,-6.469999999999999,0.01823093,0.004685657,0.4783984,0.03063112,0.02
-15.98,0.00320382,2.00857e-6,-27.08,9,-4.89,0,999999,0,-10.66,0.7845695,0.139544,0.09607928,0.1775416,0
-14.38,0.0317632,0.0537892,-18.13,8,-5.19,-12.23,2.02,4,-5.839999999999998,0.1411953,0.1236105,0.1601914,0.09907602,0
-17.62,4.61726e-4,6.3783e-6,-29.18,7,-3.11,-11.81,7.04,4,-4.849999999999998,0.2314699,0.245769,0.18854,0.08520401,0.02
-16.76,7.06117e-4,1.99182e-7,-30.11,5,-3.39,0,999999,0,-9.61,0.2862894,0.6942222,0.1603059,0.04130604,0.02
-19.04,0.00144153,2.86986e-6,-30.4,10,-5.62,-10.57,7.51,4,-7.280000000000001,0.1249074,0.1399642,0.660205,0.4777095,0.2
-9.93,0.00270316,4.6987e-8,-23.34,1,-0.49,-13.85,9.93,4,-7.32,0.6233772,0.06654218,0.5967326,0.2568622,0.01
-20.32,0.00367033,0.00104378,-27.66,7,-4.47,-13.51,4.04,4,-3.7699999999999996,0.2646537,0.2692504,0.7571421,0.1348842,0.09
-20.21,6.00929e-5,1.06193e-5,-32.67,10,-4.85,-12.57,6.74,4,-4.59,0.068663,0.1289234,0.05056246,0.05166063,0.01
-17.26,0.00360849,4.46408e-6,-27.82,8,-1.82,-12.49,7.25,4,-8.719999999999999,0.2330128,0.2242209,0.5227507,0.3484743,0.01
-18.38,0.00252553,1.75327e-6,-29.7,8,-7.13,-10.71,2.82,4,-9.73,0.3701279,0.1338328,0.1117962,0.2466257,0.07
